Entity,Code,Date,Total confirmed cases of COVID-19
Canada,CAN,2020-11-11,280465
Canada,CAN,2020-11-12,285939
Canada,CAN,2020-11-13,290709
Canada,CAN,2020-11-14,295139
Canada,CAN,2020-11-15,299440
Canada,CAN,2020-11-16,305473
Canada,CAN,2020-11-17,309935
Canada,CAN,2020-11-18,314453
Canada,CAN,2020-11-19,319247
Canada,CAN,2020-11-20,324234
Canada,CAN,2020-11-21,329191
Canada,CAN,2020-11-22,333936
Canada,CAN,2020-11-23,340731
Canada,CAN,2020-11-24,346013
Canada,CAN,2020-11-25,350971
Canada,CAN,2020-11-26,356650
Canada,CAN,2020-11-27,362604
Canada,CAN,2020-11-28,368279
Canada,CAN,2020-11-29,373662
Canada,CAN,2020-11-30,381557
Canada,CAN,2020-12-01,387052
Canada,CAN,2020-12-02,393506
Canada,CAN,2020-12-03,399770
Canada,CAN,2020-12-04,406189
Canada,CAN,2020-12-05,412543
Canada,CAN,2020-12-06,418848
Canada,CAN,2020-12-07,426572
Canada,CAN,2020-12-08,432743
Canada,CAN,2020-12-09,439142
Canada,CAN,2020-12-10,445828
Canada,CAN,2020-12-11,452543
Canada,CAN,2020-12-12,458527
Canada,CAN,2020-12-13,464443
Canada,CAN,2020-12-14,472820
Canada,CAN,2020-12-15,479064
Canada,CAN,2020-12-16,485576
Canada,CAN,2020-12-17,492582
Canada,CAN,2020-12-18,499282
Canada,CAN,2020-12-19,505741
Canada,CAN,2020-12-20,511748
Canada,CAN,2020-12-21,519325
Canada,CAN,2020-12-22,525585
Canada,CAN,2020-12-23,532506
Canada,CAN,2020-12-24,539190
Canada,CAN,2020-12-25,540939
Canada,CAN,2020-12-26,544053
Canada,CAN,2020-12-27,554153
Canada,CAN,2020-12-28,560618
Canada,CAN,2020-12-29,568807
Canada,CAN,2020-12-30,577266
Canada,CAN,2020-12-31,584409
Canada,CAN,2021-01-01,585400
Canada,CAN,2021-01-02,589935
Canada,CAN,2021-01-03,606076
Canada,CAN,2021-01-04,616134
Canada,CAN,2021-01-05,623384
Canada,CAN,2021-01-06,631466
Canada,CAN,2021-01-07,639693
Canada,CAN,2021-01-08,648930
Canada,CAN,2021-01-09,657323
Canada,CAN,2021-01-10,664606
Canada,CAN,2021-01-11,672931
Canada,CAN,2021-01-12,679072
Canada,CAN,2021-01-13,686211
Canada,CAN,2021-01-14,693658
Canada,CAN,2021-01-15,700538
Canada,CAN,2021-01-16,706897
Canada,CAN,2021-01-17,713181
Canada,CAN,2021-01-18,719601
Canada,CAN,2021-01-19,724629
Canada,CAN,2021-01-20,730330
Canada,CAN,2021-01-21,736441
Canada,CAN,2021-01-22,742268
Canada,CAN,2021-01-23,747362
Canada,CAN,2021-01-24,752041
Canada,CAN,2021-01-25,757658
Canada,CAN,2021-01-26,761699
Canada,CAN,2021-01-27,766019
Canada,CAN,2021-01-28,770825
Canada,CAN,2021-01-29,775652
Canada,CAN,2021-01-30,779762
Canada,CAN,2021-01-31,783695
Canada,CAN,2021-02-01,788197
Canada,CAN,2021-02-02,791145
Canada,CAN,2021-02-03,794412
Canada,CAN,2021-02-04,798394
Canada,CAN,2021-02-05,802530
Canada,CAN,2021-02-06,805794
Canada,CAN,2021-02-07,809001
Canada,CAN,2021-02-08,812804
Canada,CAN,2021-02-09,815487
Canada,CAN,2021-02-10,818755
Canada,CAN,2021-02-11,821932
Canada,CAN,2021-02-12,824611
Canada,CAN,2021-02-13,828408
Canada,CAN,2021-02-14,830612
Canada,CAN,2021-02-15,832375
Canada,CAN,2021-02-16,836594
Canada,CAN,2021-02-17,839155
Canada,CAN,2021-02-18,842590
Canada,CAN,2021-02-19,845673
Canada,CAN,2021-02-20,848330
Cape Verde,CPV,2020-03-20,1
Cape Verde,CPV,2020-03-21,3
Cape Verde,CPV,2020-03-22,3
Cape Verde,CPV,2020-03-23,3
Cape Verde,CPV,2020-03-24,3
Cape Verde,CPV,2020-03-25,4
Cape Verde,CPV,2020-03-26,4
Cape Verde,CPV,2020-03-27,5
Cape Verde,CPV,2020-03-28,5
Cape Verde,CPV,2020-03-29,6
Cape Verde,CPV,2020-03-30,6
Cape Verde,CPV,2020-03-31,6
Cape Verde,CPV,2020-04-01,6
Cape Verde,CPV,2020-04-02,6
Cape Verde,CPV,2020-04-03,6
Cape Verde,CPV,2020-04-04,7
Cape Verde,CPV,2020-04-05,7
Cape Verde,CPV,2020-04-06,7
Cape Verde,CPV,2020-04-07,7
Cape Verde,CPV,2020-04-08,7
Cape Verde,CPV,2020-04-09,7
Cape Verde,CPV,2020-04-10,7
Cape Verde,CPV,2020-04-11,8
Cape Verde,CPV,2020-04-12,8
Cape Verde,CPV,2020-04-13,10
Cape Verde,CPV,2020-04-14,11
Cape Verde,CPV,2020-04-15,56
Cape Verde,CPV,2020-04-16,56
Cape Verde,CPV,2020-04-17,56
Cape Verde,CPV,2020-04-18,58
Cape Verde,CPV,2020-04-19,61
Cape Verde,CPV,2020-04-20,67
Cape Verde,CPV,2020-04-21,68
Cape Verde,CPV,2020-04-22,73
Cape Verde,CPV,2020-04-23,82
Cape Verde,CPV,2020-04-24,88
Cape Verde,CPV,2020-04-25,90
Cape Verde,CPV,2020-04-26,106
Cape Verde,CPV,2020-04-27,109
Cape Verde,CPV,2020-04-28,114
Cape Verde,CPV,2020-04-29,114
Cape Verde,CPV,2020-04-30,121
Cape Verde,CPV,2020-05-01,122
Cape Verde,CPV,2020-05-02,152
Cape Verde,CPV,2020-05-03,165
Cape Verde,CPV,2020-05-04,175
Cape Verde,CPV,2020-05-05,186
Cape Verde,CPV,2020-05-06,191
Cape Verde,CPV,2020-05-07,218
Cape Verde,CPV,2020-05-08,230
Cape Verde,CPV,2020-05-09,236
Cape Verde,CPV,2020-05-10,246
Cape Verde,CPV,2020-05-11,260
Cape Verde,CPV,2020-05-12,267
Cape Verde,CPV,2020-05-13,289
Cape Verde,CPV,2020-05-14,315
Cape Verde,CPV,2020-05-15,326
Cape Verde,CPV,2020-05-16,328
Cape Verde,CPV,2020-05-17,328
Cape Verde,CPV,2020-05-18,328
Cape Verde,CPV,2020-05-19,335
Cape Verde,CPV,2020-05-20,349
Cape Verde,CPV,2020-05-21,356
Cape Verde,CPV,2020-05-22,362
Cape Verde,CPV,2020-05-23,371
Cape Verde,CPV,2020-05-24,380
Cape Verde,CPV,2020-05-25,390
Cape Verde,CPV,2020-05-26,390
Cape Verde,CPV,2020-05-27,390
Cape Verde,CPV,2020-05-28,390
Cape Verde,CPV,2020-05-29,405
Cape Verde,CPV,2020-05-30,421
Cape Verde,CPV,2020-05-31,435
Cape Verde,CPV,2020-06-01,458
Cape Verde,CPV,2020-06-02,466
Cape Verde,CPV,2020-06-03,477
Cape Verde,CPV,2020-06-04,502
Cape Verde,CPV,2020-06-05,536
Cape Verde,CPV,2020-06-06,542
Cape Verde,CPV,2020-06-07,554
Cape Verde,CPV,2020-06-08,567
Cape Verde,CPV,2020-06-09,585
Cape Verde,CPV,2020-06-10,615
Cape Verde,CPV,2020-06-11,657
Cape Verde,CPV,2020-06-12,697
Cape Verde,CPV,2020-06-13,726
Cape Verde,CPV,2020-06-14,750
Cape Verde,CPV,2020-06-15,760
Cape Verde,CPV,2020-06-16,781
Cape Verde,CPV,2020-06-17,792
Cape Verde,CPV,2020-06-18,823
Cape Verde,CPV,2020-06-19,848
Cape Verde,CPV,2020-06-20,863
Cape Verde,CPV,2020-06-21,890
Cape Verde,CPV,2020-06-22,944
Cape Verde,CPV,2020-06-23,982
Cape Verde,CPV,2020-06-24,999
Cape Verde,CPV,2020-06-25,1003
Cape Verde,CPV,2020-06-26,1027
Cape Verde,CPV,2020-06-27,1091
Cape Verde,CPV,2020-06-28,1155
Cape Verde,CPV,2020-06-29,1165
Cape Verde,CPV,2020-06-30,1227
Cape Verde,CPV,2020-07-01,1267
Cape Verde,CPV,2020-07-02,1301
Cape Verde,CPV,2020-07-03,1382
Cape Verde,CPV,2020-07-04,1421
Cape Verde,CPV,2020-07-05,1451
Cape Verde,CPV,2020-07-06,1463
Cape Verde,CPV,2020-07-07,1499
Cape Verde,CPV,2020-07-08,1542
Cape Verde,CPV,2020-07-09,1552
Cape Verde,CPV,2020-07-10,1591
Cape Verde,CPV,2020-07-11,1623
Cape Verde,CPV,2020-07-12,1623
Cape Verde,CPV,2020-07-13,1698
Cape Verde,CPV,2020-07-14,1722
Cape Verde,CPV,2020-07-15,1780
Cape Verde,CPV,2020-07-16,1894
Cape Verde,CPV,2020-07-17,1939
Cape Verde,CPV,2020-07-18,2014
Cape Verde,CPV,2020-07-19,2045
Cape Verde,CPV,2020-07-20,2071
Cape Verde,CPV,2020-07-21,2107
Cape Verde,CPV,2020-07-22,2154
Cape Verde,CPV,2020-07-23,2190
Cape Verde,CPV,2020-07-24,2220
Cape Verde,CPV,2020-07-25,2258
Cape Verde,CPV,2020-07-26,2307
Cape Verde,CPV,2020-07-27,2328
Cape Verde,CPV,2020-07-28,2354
Cape Verde,CPV,2020-07-29,2373
Cape Verde,CPV,2020-07-30,2418
Cape Verde,CPV,2020-07-31,2451
Cape Verde,CPV,2020-08-01,2480
Cape Verde,CPV,2020-08-02,2547
Cape Verde,CPV,2020-08-03,2583
Cape Verde,CPV,2020-08-04,2631
Cape Verde,CPV,2020-08-05,2689
Cape Verde,CPV,2020-08-06,2734
Cape Verde,CPV,2020-08-07,2780
Cape Verde,CPV,2020-08-08,2835
Cape Verde,CPV,2020-08-09,2858
Cape Verde,CPV,2020-08-10,2883
Cape Verde,CPV,2020-08-11,2920
Cape Verde,CPV,2020-08-12,3000
Cape Verde,CPV,2020-08-13,3073
Cape Verde,CPV,2020-08-14,3136
Cape Verde,CPV,2020-08-15,3163
Cape Verde,CPV,2020-08-16,3179
Cape Verde,CPV,2020-08-17,3203
Cape Verde,CPV,2020-08-18,3253
Cape Verde,CPV,2020-08-19,3321
Cape Verde,CPV,2020-08-20,3368
Cape Verde,CPV,2020-08-21,3412
Cape Verde,CPV,2020-08-22,3455
Cape Verde,CPV,2020-08-23,3509
Cape Verde,CPV,2020-08-24,3532
Cape Verde,CPV,2020-08-25,3568
Cape Verde,CPV,2020-08-26,3630
Cape Verde,CPV,2020-08-27,3699
Cape Verde,CPV,2020-08-28,3745
Cape Verde,CPV,2020-08-29,3778
Cape Verde,CPV,2020-08-30,3852
Cape Verde,CPV,2020-08-31,3884
Cape Verde,CPV,2020-09-01,3970
Cape Verde,CPV,2020-09-02,4048
Cape Verde,CPV,2020-09-03,4125
Cape Verde,CPV,2020-09-04,4200
Cape Verde,CPV,2020-09-05,4275
Cape Verde,CPV,2020-09-06,4330
Cape Verde,CPV,2020-09-07,4358
Cape Verde,CPV,2020-09-08,4400
Cape Verde,CPV,2020-09-09,4473
Cape Verde,CPV,2020-09-10,4557
Cape Verde,CPV,2020-09-11,4651
Cape Verde,CPV,2020-09-12,4711
Cape Verde,CPV,2020-09-13,4813
Cape Verde,CPV,2020-09-14,4839
Cape Verde,CPV,2020-09-15,4904
Cape Verde,CPV,2020-09-16,4978
Cape Verde,CPV,2020-09-17,5063
Cape Verde,CPV,2020-09-18,5141
Cape Verde,CPV,2020-09-19,5186
Cape Verde,CPV,2020-09-20,5257
Cape Verde,CPV,2020-09-21,5281
Cape Verde,CPV,2020-09-22,5337
Cape Verde,CPV,2020-09-23,5412
Cape Verde,CPV,2020-09-24,5479
Cape Verde,CPV,2020-09-25,5628
Cape Verde,CPV,2020-09-26,5701
Cape Verde,CPV,2020-09-27,5771
Cape Verde,CPV,2020-09-28,5817
Cape Verde,CPV,2020-09-29,5900
Cape Verde,CPV,2020-09-30,6024
Cape Verde,CPV,2020-10-01,6126
Cape Verde,CPV,2020-10-02,6205
Cape Verde,CPV,2020-10-03,6296
Cape Verde,CPV,2020-10-04,6360
Cape Verde,CPV,2020-10-05,6433
Cape Verde,CPV,2020-10-06,6518
Cape Verde,CPV,2020-10-07,6624
Cape Verde,CPV,2020-10-08,6717
Cape Verde,CPV,2020-10-09,6809
Cape Verde,CPV,2020-10-10,6913
Cape Verde,CPV,2020-10-11,7072
Cape Verde,CPV,2020-10-12,7155
Cape Verde,CPV,2020-10-13,7254
Cape Verde,CPV,2020-10-14,7371
Cape Verde,CPV,2020-10-15,7444
Cape Verde,CPV,2020-10-16,7526
Cape Verde,CPV,2020-10-17,7638
Cape Verde,CPV,2020-10-18,7752
Cape Verde,CPV,2020-10-19,7800
Cape Verde,CPV,2020-10-20,7901
Cape Verde,CPV,2020-10-21,8033
Cape Verde,CPV,2020-10-22,8122
Cape Verde,CPV,2020-10-23,8198
Cape Verde,CPV,2020-10-24,8322
Cape Verde,CPV,2020-10-25,8396
Cape Verde,CPV,2020-10-26,8423
Cape Verde,CPV,2020-10-27,8472
Cape Verde,CPV,2020-10-28,8548
Cape Verde,CPV,2020-10-29,8603
Cape Verde,CPV,2020-10-30,8694
Cape Verde,CPV,2020-10-31,8793
Cape Verde,CPV,2020-11-01,8848
Cape Verde,CPV,2020-11-02,8882
Cape Verde,CPV,2020-11-03,8944
Cape Verde,CPV,2020-11-04,9053
Cape Verde,CPV,2020-11-05,9149
Cape Verde,CPV,2020-11-06,9224
Cape Verde,CPV,2020-11-07,9291
Cape Verde,CPV,2020-11-08,9369
Cape Verde,CPV,2020-11-09,9419
Cape Verde,CPV,2020-11-10,9499
Cape Verde,CPV,2020-11-11,9560
Cape Verde,CPV,2020-11-12,9694
Cape Verde,CPV,2020-11-13,9741
Cape Verde,CPV,2020-11-14,9780
Cape Verde,CPV,2020-11-15,9822
Cape Verde,CPV,2020-11-16,9840
Cape Verde,CPV,2020-11-17,9960
Cape Verde,CPV,2020-11-18,10000
Cape Verde,CPV,2020-11-19,10082
Cape Verde,CPV,2020-11-20,10152
Cape Verde,CPV,2020-11-21,10234
Cape Verde,CPV,2020-11-22,10276
Cape Verde,CPV,2020-11-23,10302
Cape Verde,CPV,2020-11-24,10400
Cape Verde,CPV,2020-11-25,10526
Cape Verde,CPV,2020-11-26,10570
Cape Verde,CPV,2020-11-27,10626
Cape Verde,CPV,2020-11-28,10700
Cape Verde,CPV,2020-11-29,10747
Cape Verde,CPV,2020-11-30,10761
Cape Verde,CPV,2020-12-01,10816
Cape Verde,CPV,2020-12-02,10867
Cape Verde,CPV,2020-12-03,10938
Cape Verde,CPV,2020-12-04,10996
Cape Verde,CPV,2020-12-05,11036
Cape Verde,CPV,2020-12-06,11063
Cape Verde,CPV,2020-12-07,11098
Cape Verde,CPV,2020-12-08,11118
Cape Verde,CPV,2020-12-09,11192
Cape Verde,CPV,2020-12-10,11203
Cape Verde,CPV,2020-12-11,11262
Cape Verde,CPV,2020-12-12,11302
Cape Verde,CPV,2020-12-13,11357
Cape Verde,CPV,2020-12-14,11361
Cape Verde,CPV,2020-12-15,11395
Cape Verde,CPV,2020-12-16,11458
Cape Verde,CPV,2020-12-17,11502
Cape Verde,CPV,2020-12-18,11526
Cape Verde,CPV,2020-12-19,11567
Cape Verde,CPV,2020-12-20,11579
Cape Verde,CPV,2020-12-21,11600
Cape Verde,CPV,2020-12-22,11636
Cape Verde,CPV,2020-12-23,11668
Cape Verde,CPV,2020-12-24,11688
Cape Verde,CPV,2020-12-25,11696
Cape Verde,CPV,2020-12-26,11698
Cape Verde,CPV,2020-12-27,11714
Cape Verde,CPV,2020-12-28,11723
Cape Verde,CPV,2020-12-29,11752
Cape Verde,CPV,2020-12-30,11793
Cape Verde,CPV,2020-12-31,11840
Cape Verde,CPV,2021-01-01,11872
Cape Verde,CPV,2021-01-02,11883
Cape Verde,CPV,2021-01-03,11920
Cape Verde,CPV,2021-01-04,11949
Cape Verde,CPV,2021-01-05,11983
Cape Verde,CPV,2021-01-06,12052
Cape Verde,CPV,2021-01-07,12146
Cape Verde,CPV,2021-01-08,12237
Cape Verde,CPV,2021-01-09,12316
Cape Verde,CPV,2021-01-10,12392
Cape Verde,CPV,2021-01-11,12433
Cape Verde,CPV,2021-01-12,12506
Cape Verde,CPV,2021-01-13,12592
Cape Verde,CPV,2021-01-14,12664
Cape Verde,CPV,2021-01-15,12776
Cape Verde,CPV,2021-01-16,12901
Cape Verde,CPV,2021-01-17,12993
Cape Verde,CPV,2021-01-18,13046
Cape Verde,CPV,2021-01-19,13139
Cape Verde,CPV,2021-01-20,13224
Cape Verde,CPV,2021-01-21,13307
Cape Verde,CPV,2021-01-22,13381
Cape Verde,CPV,2021-01-23,13414
Cape Verde,CPV,2021-01-24,13489
Cape Verde,CPV,2021-01-25,13557
Cape Verde,CPV,2021-01-26,13619
Cape Verde,CPV,2021-01-27,13722
Cape Verde,CPV,2021-01-28,13784
Cape Verde,CPV,2021-01-29,13897
Cape Verde,CPV,2021-01-30,13981
Cape Verde,CPV,2021-01-31,14070
Cape Verde,CPV,2021-02-01,14098
Cape Verde,CPV,2021-02-02,14152
Cape Verde,CPV,2021-02-03,14214
Cape Verde,CPV,2021-02-04,14290
Cape Verde,CPV,2021-02-05,14306
Cape Verde,CPV,2021-02-06,14380
Cape Verde,CPV,2021-02-07,14423
Cape Verde,CPV,2021-02-08,14451
Cape Verde,CPV,2021-02-09,14479
Cape Verde,CPV,2021-02-10,14543
Cape Verde,CPV,2021-02-11,14601
Cape Verde,CPV,2021-02-12,14647
Cape Verde,CPV,2021-02-13,14700
Cape Verde,CPV,2021-02-14,14741
Cape Verde,CPV,2021-02-15,14761
Cape Verde,CPV,2021-02-16,14785
Cape Verde,CPV,2021-02-17,14848
Cape Verde,CPV,2021-02-18,14885
Cape Verde,CPV,2021-02-19,14948
Cape Verde,CPV,2021-02-20,14999
Central African Republic,CAF,2020-03-15,1
Central African Republic,CAF,2020-03-16,1
Central African Republic,CAF,2020-03-17,1
Central African Republic,CAF,2020-03-18,1
Central African Republic,CAF,2020-03-19,1
Central African Republic,CAF,2020-03-20,3
Central African Republic,CAF,2020-03-21,3
Central African Republic,CAF,2020-03-22,3
Central African Republic,CAF,2020-03-23,3
Central African Republic,CAF,2020-03-24,3
Central African Republic,CAF,2020-03-25,3
Central African Republic,CAF,2020-03-26,3
Central African Republic,CAF,2020-03-27,3
Central African Republic,CAF,2020-03-28,3
Central African Republic,CAF,2020-03-29,3
Central African Republic,CAF,2020-03-30,3
Central African Republic,CAF,2020-03-31,3
Central African Republic,CAF,2020-04-01,3
Central African Republic,CAF,2020-04-02,3
Central African Republic,CAF,2020-04-03,8
Central African Republic,CAF,2020-04-04,8
Central African Republic,CAF,2020-04-05,8
Central African Republic,CAF,2020-04-06,8
Central African Republic,CAF,2020-04-07,8
Central African Republic,CAF,2020-04-08,8
Central African Republic,CAF,2020-04-09,8
Central African Republic,CAF,2020-04-10,8
Central African Republic,CAF,2020-04-11,8
Central African Republic,CAF,2020-04-12,8
Central African Republic,CAF,2020-04-13,11
Central African Republic,CAF,2020-04-14,11
Central African Republic,CAF,2020-04-15,12
Central African Republic,CAF,2020-04-16,12
Central African Republic,CAF,2020-04-17,12
Central African Republic,CAF,2020-04-18,12
Central African Republic,CAF,2020-04-19,12
Central African Republic,CAF,2020-04-20,12
Central African Republic,CAF,2020-04-21,14
Central African Republic,CAF,2020-04-22,14
Central African Republic,CAF,2020-04-23,16
Central African Republic,CAF,2020-04-24,16
Central African Republic,CAF,2020-04-25,16
Central African Republic,CAF,2020-04-26,19
Central African Republic,CAF,2020-04-27,19
Central African Republic,CAF,2020-04-28,50
Central African Republic,CAF,2020-04-29,50
Central African Republic,CAF,2020-04-30,50
Central African Republic,CAF,2020-05-01,72
Central African Republic,CAF,2020-05-02,72
Central African Republic,CAF,2020-05-03,72
Central African Republic,CAF,2020-05-04,85
Central African Republic,CAF,2020-05-05,85
Central African Republic,CAF,2020-05-06,94
Central African Republic,CAF,2020-05-07,94
Central African Republic,CAF,2020-05-08,143
Central African Republic,CAF,2020-05-09,143
Central African Republic,CAF,2020-05-10,143
Central African Republic,CAF,2020-05-11,143
Central African Republic,CAF,2020-05-12,143
Central African Republic,CAF,2020-05-13,143
Central African Republic,CAF,2020-05-14,143
Central African Republic,CAF,2020-05-15,301
Central African Republic,CAF,2020-05-16,327
Central African Republic,CAF,2020-05-17,327
Central African Republic,CAF,2020-05-18,327
Central African Republic,CAF,2020-05-19,366
Central African Republic,CAF,2020-05-20,418
Central African Republic,CAF,2020-05-21,436
Central African Republic,CAF,2020-05-22,479
Central African Republic,CAF,2020-05-23,552
Central African Republic,CAF,2020-05-24,604
Central African Republic,CAF,2020-05-25,652
Central African Republic,CAF,2020-05-26,671
Central African Republic,CAF,2020-05-27,702
Central African Republic,CAF,2020-05-28,755
Central African Republic,CAF,2020-05-29,874
Central African Republic,CAF,2020-05-30,962
Central African Republic,CAF,2020-05-31,1011
Central African Republic,CAF,2020-06-01,1069
Central African Republic,CAF,2020-06-02,1069
Central African Republic,CAF,2020-06-03,1173
Central African Republic,CAF,2020-06-04,1288
Central African Republic,CAF,2020-06-05,1451
Central African Republic,CAF,2020-06-06,1570
Central African Republic,CAF,2020-06-07,1634
Central African Republic,CAF,2020-06-08,1850
Central African Republic,CAF,2020-06-09,1850
Central African Republic,CAF,2020-06-10,1888
Central African Republic,CAF,2020-06-11,1952
Central African Republic,CAF,2020-06-12,2044
Central African Republic,CAF,2020-06-13,2057
Central African Republic,CAF,2020-06-14,2057
Central African Republic,CAF,2020-06-15,2222
Central African Republic,CAF,2020-06-16,2410
Central African Republic,CAF,2020-06-17,2564
Central African Republic,CAF,2020-06-18,2605
Central African Republic,CAF,2020-06-19,2605
Central African Republic,CAF,2020-06-20,2686
Central African Republic,CAF,2020-06-21,2808
Central African Republic,CAF,2020-06-22,2963
Central African Republic,CAF,2020-06-23,3051
Central African Republic,CAF,2020-06-24,3099
Central African Republic,CAF,2020-06-25,3244
Central African Republic,CAF,2020-06-26,3340
Central African Republic,CAF,2020-06-27,3429
Central African Republic,CAF,2020-06-28,3429
Central African Republic,CAF,2020-06-29,3613
Central African Republic,CAF,2020-06-30,3745
Central African Republic,CAF,2020-07-01,3745
Central African Republic,CAF,2020-07-02,3788
Central African Republic,CAF,2020-07-03,3918
Central African Republic,CAF,2020-07-04,3969
Central African Republic,CAF,2020-07-05,3969
Central African Republic,CAF,2020-07-06,4033
Central African Republic,CAF,2020-07-07,4071
Central African Republic,CAF,2020-07-08,4109
Central African Republic,CAF,2020-07-09,4200
Central African Republic,CAF,2020-07-10,4259
Central African Republic,CAF,2020-07-11,4288
Central African Republic,CAF,2020-07-12,4288
Central African Republic,CAF,2020-07-13,4321
Central African Republic,CAF,2020-07-14,4356
Central African Republic,CAF,2020-07-15,4362
Central African Republic,CAF,2020-07-16,4373
Central African Republic,CAF,2020-07-17,4389
Central African Republic,CAF,2020-07-18,4485
Central African Republic,CAF,2020-07-19,4485
Central African Republic,CAF,2020-07-20,4548
Central African Republic,CAF,2020-07-21,4561
Central African Republic,CAF,2020-07-22,4574
Central African Republic,CAF,2020-07-23,4590
Central African Republic,CAF,2020-07-24,4593
Central African Republic,CAF,2020-07-25,4598
Central African Republic,CAF,2020-07-26,4599
Central African Republic,CAF,2020-07-27,4599
Central African Republic,CAF,2020-07-28,4599
Central African Republic,CAF,2020-07-29,4605
Central African Republic,CAF,2020-07-30,4605
Central African Republic,CAF,2020-07-31,4608
Central African Republic,CAF,2020-08-01,4614
Central African Republic,CAF,2020-08-02,4614
Central African Republic,CAF,2020-08-03,4614
Central African Republic,CAF,2020-08-04,4618
Central African Republic,CAF,2020-08-05,4618
Central African Republic,CAF,2020-08-06,4620
Central African Republic,CAF,2020-08-07,4641
Central African Republic,CAF,2020-08-08,4641
Central African Republic,CAF,2020-08-09,4641
Central African Republic,CAF,2020-08-10,4641
Central African Republic,CAF,2020-08-11,4645
Central African Republic,CAF,2020-08-12,4652
Central African Republic,CAF,2020-08-13,4652
Central African Republic,CAF,2020-08-14,4652
Central African Republic,CAF,2020-08-15,4652
Central African Republic,CAF,2020-08-16,4652
Central African Republic,CAF,2020-08-17,4667
Central African Republic,CAF,2020-08-18,4679
Central African Republic,CAF,2020-08-19,4679
Central African Republic,CAF,2020-08-20,4679
Central African Republic,CAF,2020-08-21,4679
Central African Republic,CAF,2020-08-22,4679
Central African Republic,CAF,2020-08-23,4679
Central African Republic,CAF,2020-08-24,4679
Central African Republic,CAF,2020-08-25,4691
Central African Republic,CAF,2020-08-26,4698
Central African Republic,CAF,2020-08-27,4698
Central African Republic,CAF,2020-08-28,4700
Central African Republic,CAF,2020-08-29,4700
Central African Republic,CAF,2020-08-30,4700
Central African Republic,CAF,2020-08-31,4711
Central African Republic,CAF,2020-09-01,4711
Central African Republic,CAF,2020-09-02,4712
Central African Republic,CAF,2020-09-03,4729
Central African Republic,CAF,2020-09-04,4729
Central African Republic,CAF,2020-09-05,4729
Central African Republic,CAF,2020-09-06,4729
Central African Republic,CAF,2020-09-07,4729
Central African Republic,CAF,2020-09-08,4735
Central African Republic,CAF,2020-09-09,4736
Central African Republic,CAF,2020-09-10,4747
Central African Republic,CAF,2020-09-11,4749
Central African Republic,CAF,2020-09-12,4749
Central African Republic,CAF,2020-09-13,4749
Central African Republic,CAF,2020-09-14,4772
Central African Republic,CAF,2020-09-15,4772
Central African Republic,CAF,2020-09-16,4782
Central African Republic,CAF,2020-09-17,4782
Central African Republic,CAF,2020-09-18,4786
Central African Republic,CAF,2020-09-19,4786
Central African Republic,CAF,2020-09-20,4786
Central African Republic,CAF,2020-09-21,4786
Central African Republic,CAF,2020-09-22,4802
Central African Republic,CAF,2020-09-23,4802
Central African Republic,CAF,2020-09-24,4804
Central African Republic,CAF,2020-09-25,4806
Central African Republic,CAF,2020-09-26,4806
Central African Republic,CAF,2020-09-27,4806
Central African Republic,CAF,2020-09-28,4806
Central African Republic,CAF,2020-09-29,4806
Central African Republic,CAF,2020-09-30,4829
Central African Republic,CAF,2020-10-01,4829
Central African Republic,CAF,2020-10-02,4829
Central African Republic,CAF,2020-10-03,4845
Central African Republic,CAF,2020-10-04,4845
Central African Republic,CAF,2020-10-05,4845
Central African Republic,CAF,2020-10-06,4852
Central African Republic,CAF,2020-10-07,4852
Central African Republic,CAF,2020-10-08,4853
Central African Republic,CAF,2020-10-09,4853
Central African Republic,CAF,2020-10-10,4854
Central African Republic,CAF,2020-10-11,4854
Central African Republic,CAF,2020-10-12,4854
Central African Republic,CAF,2020-10-13,4854
Central African Republic,CAF,2020-10-14,4855
Central African Republic,CAF,2020-10-15,4855
Central African Republic,CAF,2020-10-16,4855
Central African Republic,CAF,2020-10-17,4855
Central African Republic,CAF,2020-10-18,4855
Central African Republic,CAF,2020-10-19,4856
Central African Republic,CAF,2020-10-20,4858
Central African Republic,CAF,2020-10-21,4858
Central African Republic,CAF,2020-10-22,4862
Central African Republic,CAF,2020-10-23,4862
Central African Republic,CAF,2020-10-24,4862
Central African Republic,CAF,2020-10-25,4862
Central African Republic,CAF,2020-10-26,4863
Central African Republic,CAF,2020-10-27,4863
Central African Republic,CAF,2020-10-28,4863
Central African Republic,CAF,2020-10-29,4863
Central African Republic,CAF,2020-10-30,4866
Central African Republic,CAF,2020-10-31,4866
Central African Republic,CAF,2020-11-01,4866
Central African Republic,CAF,2020-11-02,4866
Central African Republic,CAF,2020-11-03,4866
Central African Republic,CAF,2020-11-04,4866
Central African Republic,CAF,2020-11-05,4866
Central African Republic,CAF,2020-11-06,4866
Central African Republic,CAF,2020-11-07,4879
Central African Republic,CAF,2020-11-08,4879
Central African Republic,CAF,2020-11-09,4880
Central African Republic,CAF,2020-11-10,4884
Central African Republic,CAF,2020-11-11,4884
Central African Republic,CAF,2020-11-12,4888
Central African Republic,CAF,2020-11-13,4888
Central African Republic,CAF,2020-11-14,4896
Central African Republic,CAF,2020-11-15,4900
Central African Republic,CAF,2020-11-16,4900
Central African Republic,CAF,2020-11-17,4900
